Language name,Native name,639-1
Abkhaz,?????,ab
Afar,Afaraf,aa
Afrikaans,Afrikaans,af
Akan,Akan,ak
Albanian,gjuha shqipe,sq
Amharic,????,am
Arabic,???????,ar
Aragonese,aragonés,an
Armenian,???????,hy
Assamese,???????,as
Avaric,????,av
Avestan,avesta,ae
Aymara,aymar aru,ay
Azerbaijani,az?rbaycan dili,az
Bambara,bamanankan,bm
Bashkir,??????? ????,ba
Basque,euskara,eu
Belarusian,?????????? ????,be
Bengali,?????,bn
Bangla,?????,bn
Bihari,???????,bh
Bislama,Bislama,bi
Bosnian,bosanski jezik,bs
Breton,brezhoneg,br
Bulgarian,????????? ????,bg
Burmese,?????,my
Catalan,català,ca
Valencian,català,ca
Chamorro,Chamoru,ch
Chechen,??????? ????,ce
Chichewa,chiChe?a,ny
Chewa,chiChe?a,ny
Nyanja,chiChe?a,ny
Chinese,??,zh
Chuvash,????? ?????,cv
Cornish,Kernewek,kw
Corsican,corsu,co
Cree,???????,cr
Croatian,hrvatski jezik,hr
Czech,eština,cs
Danish,dansk,da
Divehi,?????,dv
Dhivehi,??????,dv
Maldivian,??????,dv
Dutch,Nederlands,nl
Dzongkha,??????,dz
English,English,en
Esperanto,Esperanto,eo
Estonian,eesti,et
Ewe,E?egbe,ee
Faroese,føroyskt,fo
Fijian,vosa Vakaviti,fj
Finnish,suomi,fi
French,français,fr
Fula,Fulfulde,ff
Fulah,Fulfulde,ff
Pulaar,Fulfulde,ff
Pular,Fulfulde,ff
Galician,galego,gl
Georgian,???????,ka
German,Deutsch,de
Greek,????????,el
Guaraní,Avañe'?,gn
Gujarati,???????,gu
Haitian,Kreyòl ayisyen,ht
Hausa,Hausa,ha
Hebrew,?????,he
Herero,Otjiherero,hz
Hindi,???,hi
Hiri Motu,Hiri Motu,ho
Hungarian,magyar,hu
Interlingua,Interlingua,ia
Indonesian,Bahasa Indonesia,id
Irish,Gaeilge,ga
Igbo,As?s? Igbo,ig
Inupiaq,Iñupiaq,ik
Ido,Ido,io
Icelandic,Íslenska,is
Italian,italiano,it
Inuktitut,??????,iu
Japanese,??? (????),ja
Javanese,basa Jawa,jv
Kalaallisut,kalaallisut,kl
Kannada,?????,kn
Kanuri,Kanuri,kr
Kashmiri,???????,ks
Kazakh,????? ????,kk
Khmer,????,km
Kikuyu,G?k?y?,ki
Kinyarwanda,Ikinyarwanda,rw
Kyrgyz,????,ky
Komi,???? ???,kv
Kongo,KiKongo,kg
Korean,??,ko
Kurdish,Kurdî,ku
Kwanyama,Kuanyama,kj
Latin,latine,la
Luxembourgish,Lëtzebuergesch,lb
Ganda,Luganda,lg
Limburgish,Limburgs,li
Lingala,Lingála,ln
Lao,???????,lo
Lithuanian,lietuvi? kalba,lt
Luba-Katanga,Tshiluba,lu
Latvian,latviešu valoda,lv
Manx,Gaelg,gv
Macedonian,?????????? ?????,mk
Malagasy,fiteny malagasy,mg
Malay,bahasa,ms
Malayalam,??????,ml
Maltese,Malti,mt
M?ori,te reo M?ori,mi
Marathi (Mar??h?),?????,mr
Marshallese,Kajin M?aje?,mh
Mongolian,??????,mn
Nauru,Ekakair? Naoero,na
Navajo,Din,nv
Norwegian Bokmål,Norsk bokmål,nb
North Ndebele,isiNdebele,nd
Nepali,??????,ne
Ndonga,Owambo,ng
Norwegian Nynorsk,Norsk nynorsk,nn
Norwegian,Norsk,no
Nuosu,??? Nuosuhxop,ii
South Ndebele,isiNdebele,nr
Occitan,lenga,oc
Ojibwe,????????,oj
Oromo,Afaan Oromoo,om
Oriya,?????,or
Ossetian,???? æ????,os
Panjabi,?,pa
P?li,????,pi
Persian (Farsi),?????,fa
Polish,polski,pl
Pashto,????,ps
Portuguese,português,pt
Quechua,Simi,qu
Romansh,rumantsch grischun,rm
Kirundi,Ikirundi,rn
Romanian,limba român?,ro
Russian,??????? ????,ru
Sanskrit (Sa?sk?ta),?????????,sa
Sardinian,sardu,sc
Sindhi,??????,sd
Northern Sami,Davvisámegiella,se
Samoan,gagana fa'a Samoa,sm
Sango,yângâ tî sängö,sg
Serbian,?????? ?????,sr
Scottish Gaelic,Gàidhlig,gd
Gaelic,Gàidhlig,gd
Shona,chiShona,sn
Sinhala,?????,si
Slovak,sloven?ina,sk
Slovene,slovenski,sl
Somali,Soomaaliga,so
Southern Sotho,Sesotho,st
South Azerbaijani,???????,az
Spanish,español,es
Castilian,español,es
Sundanese,Basa Sunda,su
Swahili,Kiswahili,sw
Swati,SiSwati,ss
Swedish,Svenska,sv
Tamil,?????,ta
Telugu,??????,te
Tajik,??????,tg
Thai,???,th
Tigrinya,????,ti
Tibetan,???????,bo
Turkmen,???????,tk
Tagalog,Wikang,tl
Tswana,Setswana,tn
Tonga (Tonga Islands),faka Tonga,to
Turkish,Türkçe,tr
Tsonga,Xitsonga,ts
Tatar,?????,tt
Twi,Twi,tw
Tahitian,Reo Tahiti,ty
Uyghur,Uy?urq?,ug
Ukrainian,?????????? ????,uk
Urdu,????,ur
Uzbek,O‘zbek,uz
Venda,Tshiven?a,ve
Vietnamese,Ti?ng Vi?t,vi
Volapük,Volapük,vo
Walloon,walon,wa
Welsh,Cymraeg,cy
Wolof,Wollof,wo
Western Frisian,Frysk,fy
Xhosa,isiXhosa,xh
Yiddish,??????,yi
Yoruba,Yorùbá,yo
Zhuang,Saa,za 
Chuang,Saa,za
Zulu,isiZulu,zu
